Group,GEOID,ALAND20,AWATER20,Lat,Long,Shape_Leng,Shape_Length,Shape_Area
238,53033023403,3354192,1962037,47.5805595,-122.1141855,38239.00563,38239.00563,57221476.94
239,53033023404,1838932,1746971,47.5669902,-122.0852231,31149.46627,31149.46627,38597233.86
240,53033023500,2443751,0,47.5917924,-122.1734356,22264.05894,22264.05894,26303329.7
241,53033023601,4627061,0,47.6104071,-122.1717598,29796.04752,29796.04752,49803155.46
242,53033023603,2017794,0,47.6173889,-122.1507628,19096.14963,19096.14963,21718387.55
243,53033023604,2904411,0,47.5993994,-122.1538559,28206.69093,28206.69093,31261558.45
244,53033023701,4192703,0,47.6387236,-122.1767944,33123.1667,33123.1667,45127637.42
245,53033023702,3498742,18268,47.6240320,-122.1710306,30960.08339,30960.08339,37855022.11
246,53033023801,3621819,0,47.5956791,-122.1891073,30707.26337,30707.26337,38983488.27
247,53033023805,329175,0,47.6192553,-122.2016602,8010.15808,8010.15808,3543063.076
248,53033023806,234791,0,47.6192524,-122.1925281,6730.334721,6730.334721,2527159.782
249,53033023807,886421,0,47.6139313,-122.1999085,16374.27197,16374.27197,9540923.014
250,53033023808,308971,0,47.6119127,-122.1938322,7644.705665,7644.705665,3325575.269
251,53033023901,2453360,1775304,47.5946966,-122.2087645,28381.1739,28381.1739,45515241.97
252,53033023902,2470250,2350308,47.5690000,-122.1887548,46265.65368,46265.65368,51886545.6
253,53033024001,2811309,0,47.6320617,-122.199121,24227.08529,24227.08529,30259245.78
254,53033024002,1624655,240155,47.6183622,-122.2121125,25874.25128,25874.25128,20071712.89
255,53033024100,4469122,1617421,47.6445756,-122.2199938,38389.13644,38389.13644,65511653.69
256,53033024200,3704669,11442083,47.6348660,-122.2402688,74021.00883,74021.00883,163030283.4
257,53033024301,1381432,0,47.5820465,-122.233543,18863.58863,18863.58863,14869087.36
258,53033024302,2778562,8215200,47.5926899,-122.2449557,55341.24525,55341.24525,118331585
259,53033024400,1670874,514968,47.5788389,-122.2131521,24081.0782,24081.0782,23527457.07
260,53033024500,3838553,1901481,47.5664296,-122.2170417,41471.76465,41471.76465,61783541.03
261,53033024601,3968267,2707956,47.5484570,-122.2237277,47332.64024,47332.64024,71860641.52
262,53033024602,2893266,3542006,47.5311198,-122.2338107,36894.43078,36894.43078,69267586.35
263,53033024701,2637026,0,47.5615487,-122.1806659,28692.3898,28692.3898,28383992.93
264,53033024703,3750917,0,47.5280151,-122.1851357,29083.20147,29083.20147,40373925.81
265,53033024704,2649459,804870,47.5396112,-122.1898817,37844.44483,37844.44483,37181338.28
266,53033024800,3770491,0,47.5743868,-122.1520699,41309.82587,41309.82587,40583949.25
267,53033024901,3024840,0,47.5633934,-122.1568428,26964.37228,26964.37228,32558183.14
268,53033024902,2029991,0,47.5653697,-122.1337183,27975.80358,27975.80358,21849998.76
269,53033024904,2083512,0,47.5461877,-122.1463703,32623.34315,32623.34315,22426228.87
270,53033024905,2880072,0,47.5542223,-122.1375616,34391.71678,34391.71678,31000015.45
271,53033025001,3696779,28798,47.5379558,-122.1689468,40869.8327,40869.8327,40100945.49
272,53033025005,7684828,0,47.5306824,-122.1466867,41530.76543,41530.76543,82717483.41
273,53033025006,22409780,0,47.5269279,-122.0986626,70104.80787,70104.80787,241213247.4
274,53033025007,4176855,0,47.5529149,-122.1054184,37654.61314,37654.61314,44958166.96
275,53033025008,2260533,0,47.5638066,-122.1122579,23999.41967,23999.41967,24331506.18
276,53033025101,2935516,0,47.5093920,-122.1549957,25224.03966,25224.03966,31597352.65
277,53033025103,1599178,0,47.4947076,-122.1557587,20935.56058,20935.56058,17213368.06
278,53033025104,4632994,0,47.4992681,-122.1355354,31323.80979,31323.80979,49868953.49
279,53033025201,1699715,0,47.5078428,-122.1923034,24984.6898,24984.6898,18295452.46
280,53033025202,2767327,0,47.5121074,-122.1764378,28818.57023,28818.57023,29786918.4
281,53033025302,4025029,2443067,47.4920105,-122.2153547,59691.3383,59691.3383,69621863.3
282,53033025303,1888021,0,47.4913584,-122.1998442,21125.02382,21125.02382,20322458.31
283,53033025304,1854877,2019824,47.5178634,-122.2078846,30252.22027,30252.22027,41706463
284,53033025401,1199148,0,47.4977587,-122.1813358,18155.12623,18155.12623,12907432.62
285,53033025402,1101467,0,47.4910343,-122.1867087,15119.44825,15119.44825,11856079.68
286,53033025500,1525774,0,47.4970782,-122.1699572,17915.33468,17915.33468,16423210.76
287,53033025601,2809358,0,47.4828415,-122.1749934,26001.94517,26001.94517,30239720.75
288,53033025602,5269483,0,47.4777777,-122.149199,38066.39447,38066.39447,56720455.21
289,53033025702,2782780,0,47.4635505,-122.164279,28088.65728,28088.65728,29953912.07
290,53033025703,944219,0,47.4659530,-122.1987897,13776.35951,13776.35951,10163565.5
291,53033025704,2923198,0,47.4735006,-122.1884561,27038.3876,27038.3876,31465225.38
292,53033025803,1343483,0,47.4503896,-122.178457,16727.28385,16727.28385,14461358.22
293,53033025804,2364694,0,47.4547820,-122.1691753,28463.64745,28463.64745,25453670.32
294,53033025805,2427753,0,47.4546858,-122.1937967,23225.59713,23225.59713,26132456.82
295,53033025806,2936653,150317,47.4550034,-122.2107374,29087.19158,29087.19158,33228311.9
296,53033026001,2660203,0,47.4988699,-122.2358957,28445.55421,28445.55421,28634083.26
297,53033026003,1133278,1607,47.4792093,-122.2424677,21317.33098,21317.33098,12215882.98
298,53033026004,1634546,0,47.4905387,-122.2230349,20967.35198,20967.35198,17594108.49
299,53033026101,2706291,7108,47.4871294,-122.2513766,32446.72304,32446.72304,29206790.01
300,53033026102,1576655,0,47.4949418,-122.2498458,19354.70606,19354.70606,16970938.78
301,53033026200,15386966,508436,47.4591441,-122.2435898,57981.69378,57981.69378,171098522.5
302,53033026300,4224982,323989,47.5036921,-122.2847033,48479.86987,48479.86987,48964373.66
303,53033026400,4724320,294417,47.5090918,-122.3112029,46084.50496,46084.50496,54020898.42
304,53033026500,2045074,1625,47.5130046,-122.3382273,27697.07269,27697.07269,22030303.04
305,53033026600,1160392,0,47.5128460,-122.3632681,15954.15888,15954.15888,12490277.81
306,53033026700,3084838,419292,47.4962149,-122.3638882,27549.14004,27549.14004,37718018.66
307,53033026801,1541369,3031,47.5076338,-122.3433587,22488.56345,22488.56345,16623647.07
308,53033026802,2035736,18135,47.4978290,-122.3413234,21664.51238,21664.51238,22107608.16
309,53033027000,1978896,12524,47.4976819,-122.3219067,19214.18338,19214.18338,21435422.27
310,53033027100,1566609,0,47.4920578,-122.2998501,21343.34621,21343.34621,16862781.66
311,53033027200,3245737,84995,47.4867948,-122.2813197,31312.69233,31312.69233,35851746.87
312,53033027300,3549642,5405,47.4805960,-122.2985241,25866.08946,25866.08946,38266352.19
313,53033027400,3325455,0,47.4827326,-122.3236114,25002.93793,25002.93793,35795006.47
314,53033027500,2229526,0,47.4816357,-122.341172,20607.3757,20607.3757,23998528.93
315,53033027600,2854126,1287647,47.4756660,-122.3586455,38754.4735,38754.4735,44581927.83
316,53033027701,44157315,9775801,47.4509608,-122.4764915,121553.0098,121553.0098,580540256.9
317,53033027702,51502878,23418662,47.3758443,-122.4365251,133559.4912,133559.4912,806487247.1
318,53033027800,2582664,1104566,47.4515094,-122.3679231,32228.77146,32228.77145,39689576.2
319,53033027901,1866614,156045,47.4629628,-122.3529063,24262.64579,24262.64579,21771979.39
320,53033027902,1488964,0,47.4668558,-122.341531,18354.03632,18354.03632,16027207.84
321,53033028000,1951003,0,47.4667160,-122.3244687,21054.1775,21054.1775,21000624.5
322,53033028100,1590422,0,47.4687361,-122.2988958,18626.15469,18626.15469,17119268.99
323,53033028200,2658633,612,47.4656308,-122.2755633,23587.60264,23587.60264,28624178.21
324,53033028300,8153490,139520,47.4314308,-122.2689984,62770.88852,62770.88852,89267276.06
325,53033028402,8518208,0,47.4504671,-122.3032766,46239.72697,46239.72697,91690647.07
326,53033028403,2075832,32666,47.4388123,-122.283405,19246.33565,19246.33565,22696147.24
327,53033028500,3509793,0,47.4454085,-122.3248135,34190.83713,34190.83713,37779743.85
328,53033028600,6378626,1972936,47.4329749,-122.3446892,54723.63654,54723.63654,89897507.6
329,53033028700,2675319,0,47.4212394,-122.3278018,23258.30362,23258.30362,28797724.06
330,53033028801,5221717,0,47.4207125,-122.3085621,32941.6456,32941.6456,56207664.78
331,53033028802,2397498,415838,47.4249280,-122.2883103,28775.91031,28775.91031,30283245.24
332,53033028901,2295692,415797,47.4026302,-122.3203514,27909.25338,27909.25338,29187237.87
333,53033028902,2065170,0,47.3993990,-122.301752,24179.10944,24179.10944,22230167.08
334,53033029001,2565840,1021619,47.3840072,-122.3220797,27185.39097,27185.39097,38616761.07
335,53033029003,2568431,0,47.3825199,-122.3057587,32322.12705,32322.12705,27647609.09
336,53033029004,1827762,0,47.3798558,-122.2968868,30601.26097,30601.26097,19674748.91
337,53033029101,3368999,166228,47.3978567,-122.2786386,38712.91112,38712.91112,38054324.73
338,53033029102,2567137,0,47.3798860,-122.2841327,24992.34832,24992.34832,27633705.6
339,53033029203,2009030,0,47.3862784,-122.2313781,28457.77892,28457.77892,21625944.34
340,53033029205,1868767,40687,47.3878067,-122.2638518,28181.76505,28181.76505,20554041.76
341,53033029206,17259980,232894,47.4144378,-122.2433601,69283.59919,69283.59919,188297487.1
342,53033029207,2255652,1263,47.4044643,-122.2110851,28910.05729,28910.05729,24294029.38
343,53033029208,1978624,423,47.3929289,-122.2206867,21652.83351,21652.83351,21303077.08
344,53033029304,4162138,507,47.4385923,-122.169186,27020.66975,27020.66975,44807219.34
345,53033029305,2897230,2246,47.4219143,-122.2114434,22923.32366,22923.32366,31210555.55
346,53033029306,2372866,182821,47.4214221,-122.1801056,20992.19229,20992.19229,27509923.82
347,53033029307,3830941,39589,47.4218407,-122.1594823,26347.75036,26347.75036,41663188.43
348,53033029308,1347848,0,47.4377350,-122.1916538,16228.08635,16228.08635,14508402.85
349,53033029309,2261673,0,47.4363871,-122.2072334,21294.61636,21294.61636,24344962.81
350,53033029403,2407379,385,47.4094803,-122.2003764,20836.85899,20836.85899,25917796.38
351,53033029405,2492138,0,47.4089182,-122.1759183,21074.17631,21074.17631,26826012.96
352,53033029406,2620731,89031,47.3974254,-122.1786815,22017.98719,22017.98719,29168780.6
353,53033029407,1334702,0,47.3941343,-122.2018618,18167.66094,18167.66094,14367190
354,53033029408,1263995,0,47.3947994,-122.1917809,19416.38953,19416.38953,13606070.58
355,53033029504,1883417,0,47.3797202,-122.1945496,18236.19296,18236.19296,20273849.68
356,53033029505,1408180,0,47.3803885,-122.2083785,15761.17935,15761.17935,15158179.87
357,53033029506,953757,0,47.3697588,-122.1987143,18618.24653,18618.24653,10266664.41
358,53033029507,1749224,0,47.3671453,-122.1743525,18847.53514,18847.53514,18829453.93
359,53033029508,2562172,34833,47.3851005,-122.178779,21149.99708,21149.99708,27955187.25
360,53033029602,6665522,47921,47.3382029,-122.1880797,41181.46979,41181.46979,72267467.73
361,53033029603,1543490,5693,47.3615608,-122.1880658,18577.8754,18577.8754,16676118.29
362,53033029604,2407546,64463,47.3535767,-122.1823359,26578.81865,26578.81865,26609991.36
363,53033029701,3422205,19062,47.3748371,-122.2271478,38255.33493,38255.33493,37043247.72
364,53033029702,7757183,215197,47.3588998,-122.222478,59496.88995,59496.88995,85818646.7
365,53033029803,5399602,152809,47.3647476,-122.2637248,38127.77045,38127.77045,59768629.58
366,53033029804,2506782,0,47.3614589,-122.2825109,27375.94005,27375.94005,26984211.61
367,53033029805,3167566,2878,47.3399246,-122.2716387,31104.29413,31104.29413,34128604.54
368,53033029806,3690363,170101,47.3499788,-122.2771826,34281.01431,34281.01431,41556093.47
369,53033029901,3958812,107134,47.3240587,-122.282336,27048.58161,27048.58161,43768612.01
370,53033029902,6244310,0,47.3205788,-122.2617029,40517.748,40517.748,67218073.18
371,53033030003,4604664,963078,47.3588458,-122.3152313,42666.43818,42666.43818,59933986.64
372,53033030005,2163062,0,47.3365978,-122.3028494,19395.76391,19395.76391,23284503.81
373,53033030006,1993786,164002,47.3240403,-122.3041394,18976.29406,18976.29406,23227887.93
374,53033030007,643528,0,47.3531290,-122.3075675,11725.22112,11725.22112,6927302.413
375,53033030008,1407520,0,47.3487317,-122.3015522,20378.36332,20378.36332,15151281.2
376,53033030101,3316611,1920873,47.3332218,-122.3577607,42822.71106,42822.71106,56379543.04
377,53033030102,2586301,0,47.3381770,-122.3285768,27507.50836,27507.50836,27840496.78
378,53033030201,2807515,64020,47.3206958,-122.3487088,22818.06399,22818.06399,30911154.05
379,53033030203,1488981,0,47.3194456,-122.324909,18328.79288,18328.79288,16028413.05
380,53033030204,1789757,0,47.3284826,-122.3216107,20503.12796,20503.12796,19266115.7
381,53033030304,7535865,0,47.2766850,-122.3301341,43668.51104,43668.51104,81123127.5
382,53033030305,3819389,999771,47.3189904,-122.3888642,33996.69723,33996.69723,51876776.03
383,53033030306,3705307,630354,47.3130408,-122.3996459,39006.63684,39006.63684,46672276.85
384,53033030308,2154063,0,47.3083168,-122.3520249,20264.82435,20264.82435,23187977.76
385,53033030309,2194432,27034,47.3034962,-122.3373003,25113.74791,25113.74791,23913612.09
386,53033030310,3205496,0,47.2901057,-122.3495936,24509.34302,24509.34302,34506642.03
387,53033030311,1900457,3993,47.3078811,-122.368573,21015.16724,21015.16724,20500931.02
388,53033030312,1853047,0,47.2932142,-122.3682021,21364.40504,21364.40504,19947781.3
389,53033030313,4061855,0,47.3002007,-122.3138424,34015.78831,34015.78831,43725073.14
390,53033030314,2492084,0,47.3080966,-122.3237353,20427.86375,20427.86375,26826675.77
391,53033030403,3758274,6562,47.2677487,-122.3092311,31509.55699,31509.55699,40528425.67
392,53033030404,5998037,215746,47.2674240,-122.2759315,39638.34822,39638.34822,66891251.87
393,53033030405,4929005,87963,47.2908056,-122.270252,36671.93191,36671.93191,54006927.97
394,53033030406,2680316,70290,47.2857643,-122.2897663,28662.56414,28662.56414,29609962.36
395,53033030407,4497215,184183,47.3109875,-122.286418,32326.06351,32326.06351,50394208.22
396,53033030501,11369294,43830,47.3273852,-122.2353377,50618.34372,50618.34372,122858293.6
397,53033030503,3121911,64270,47.3427791,-122.2131216,29471.92342,29471.92342,34297856.78
398,53033030504,1524224,42762,47.3211155,-122.2135048,18977.8763,18977.8763,16868118.39
399,53033030600,3379427,77105,47.3069144,-122.2074969,37719.42427,37719.42427,37208690.14
400,53033030700,1553394,0,47.2971234,-122.2215759,17513.48219,17513.48219,16721994.65
401,53033030801,6956937,33590,47.2882624,-122.2362214,52797.87543,52797.87543,75252145.87
402,53033030802,1385571,0,47.2861014,-122.2136873,18850.77114,18850.77114,14915483.06
403,53033030901,3121700,0,47.2807128,-122.2531121,29902.83934,29902.83934,33604878.69
404,53033030902,3905389,46988,47.2657557,-122.2444934,32076.74008,32076.74008,42547301.94
405,53033031000,12462097,292603,47.2689510,-122.1862092,55483.03842,55483.03842,137304038.6
406,53033031101,4989541,64354,47.2932886,-122.1877375,36695.91688,36695.91688,54404336.48
407,53033031102,2316959,60932,47.2834938,-122.1949103,30471.52153,30471.52153,25597739.98
408,53033031202,66574091,1019606,47.2520052,-122.0674874,153974.3703,153974.3703,727652072.3
409,53033031204,36877757,601520,47.3063880,-122.129911,100987.2521,100987.2521,403456097.7
410,53033031206,3633545,59492,47.3135679,-122.1836163,37310.38979,37310.38979,39754557.67
411,53033031207,3261583,3323,47.3314691,-122.1622948,34270.21129,34270.21129,35145510.56
412,53033031208,2618661,38070,47.3222578,-122.1936851,32866.49519,32866.49519,28598845.69
413,53033031301,32978507,459434,47.2046996,-122.0589541,102263.8214,102263.8214,359973045
414,53033031302,10837906,111632,47.1859751,-122.0119002,54393.43981,54393.43981,117877731
415,53033031400,6362544,1179,47.2066360,-121.9889145,37048.75563,37048.75563,68508260.5
416,53033031501,161493800,2001827,47.3203800,-121.8791431,289802.2846,289802.2846,1759976985
417,53033031502,1025836912,9158672,47.2402889,-121.6344475,731681.8521,731681.8521,11141904358
418,53033031601,14669540,418506,47.3317137,-122.0861127,60986.95183,60986.95183,162417461.7
419,53033031603,55964494,1522722,47.3236554,-121.991822,147464.8017,147464.8017,618829618.1
420,53033031604,4153703,3229,47.3543713,-122.0323107,30006.69584,30006.69584,44747444.03
421,53033031605,15390911,1564307,47.3232517,-122.0465811,67027.41538,67027.41538,182517709.1
422,53033031704,5719420,12142,47.3485353,-122.1451841,36849.83268,36849.83268,61697611.01
423,53033031705,5049492,4701,47.3824059,-122.1154859,34388.5532,34388.5532,54405398.58
