OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
87,53033008300,Tract 008300,70000,11469,50919,9306,127083,29142,250001,,,,,,,,,
88,53033008400,Tract 008400,60910,17124,48750,7065,91875,22829,76389,879,,,,,,,,
89,53033008500,Tract 008500,50250,8110,41928,4687,101555,19159,69931,49008,,,,,,,,
90,53033008600,Tract 008600,51190,11674,41554,22875,67778,25656,68906,60279,41250,38182,,,,,,
91,53033008700,Tract 008700,83090,18867,43750,25927,106950,22627,105625,37398,129034,21844,,,30278,17875,,
92,53033008800,Tract 008800,120608,14778,46944,23182,121394,5722,170121,60801,162303,26651,91071,88888,250001,,,
93,53033008900,Tract 008900,99167,16750,58795,33609,117969,28039,128778,11093,,,,,,,,
94,53033009000,Tract 009000,43438,13943,25125,6580,74727,18713,75438,16736,130781,70236,,,,,,
95,53033009100,Tract 009100,34650,7210,28333,11313,47000,15998,41250,32241,27420,2225,,,,,,
96,53033009200,Tract 009200,21387,7496,16180,2999,55521,28931,59150,10367,,,,,,,,
97,53033009300,Tract 009300,85750,14559,65658,18788,112500,15815,157361,95296,,,,,,,,
98,53033009400,Tract 009400,65255,11669,28710,23416,71420,19796,87333,40698,66667,8767,110324,12995,,,,
99,53033009500,Tract 009500,95075,25655,41632,13593,152794,32621,142697,95784,123631,46058,250001,,,,,
100,53033009600,Tract 009600,102569,25625,37433,11010,146471,35490,197381,87959,210966,85013,,,,,,
101,53033009701,Tract 009701,110368,20521,66507,13937,131250,20587,167031,102737,196765,28395,,,,,,
102,53033009702,Tract 009702,120189,10153,52885,23106,140208,27414,140714,59077,174875,11730,182054,53291,209338,94799,,
103,53033009800,Tract 009800,114212,15418,54332,5600,117621,27321,165526,20783,169158,4489,114531,73546,,,,
104,53033009900,Tract 009900,81066,12569,56934,7548,91140,18246,127321,29112,170026,27925,208375,157096,,,,
105,53033010001,Tract 010001,63891,9486,19886,14027,75341,22585,121250,69196,95278,40555,65787,31049,,,,
106,53033010002,Tract 010002,74953,9879,40115,4175,103542,29831,81250,16801,76897,55489,,,97143,61177,,
107,53033010100,Tract 010100,87188,22389,24712,13931,142361,31576,126618,53676,113429,12850,70000,41338,,,101815,52301
108,53033010200,Tract 010200,111026,20090,44000,16259,116250,18790,141176,41134,183611,27377,,,,,,
109,53033010300,Tract 010300,63493,15273,37939,15590,99523,13416,94816,57124,,,,,,,,
110,53033010401,Tract 010401,78407,15511,,,65982,15513,79527,21604,123798,26561,,,,,,
111,53033010402,Tract 010402,81979,9701,30000,20414,81683,16395,105156,35992,94861,38697,94400,28583,58942,29496,166250,75698
112,53033010500,Tract 010500,83245,6820,62538,15152,99375,21905,150357,129983,163750,63610,,,,,,
