OBJECTID,GEO_ID_TRT,TRACT_LBL,E01003097,M01003097
182,53033023100,Tract 023100,4143,247
183,53033023201,Tract 023201,6639,548
184,53033023202,Tract 023202,4724,327
185,53033023300,Tract 023300,6721,498
186,53033023401,Tract 023401,3980,312
187,53033023403,Tract 023403,4257,282
188,53033023404,Tract 023404,3438,233
189,53033023500,Tract 023500,3788,239
190,53033023601,Tract 023601,4252,308
191,53033023603,Tract 023603,6649,657
192,53033023604,Tract 023604,6616,485
193,53033023700,Tract 023700,4425,273
194,53033023801,Tract 023801,3074,241
195,53033023803,Tract 023803,5339,515
196,53033023804,Tract 023804,7397,579
197,53033023900,Tract 023900,7067,534
198,53033024000,Tract 024000,7674,401
199,53033024100,Tract 024100,4895,129
200,53033024200,Tract 024200,3253,29
201,53033024300,Tract 024300,8736,404
202,53033024400,Tract 024400,3117,254
203,53033024500,Tract 024500,5195,259
204,53033024601,Tract 024601,4573,219
205,53033024602,Tract 024602,3871,197
206,53033024701,Tract 024701,4068,455
207,53033024702,Tract 024702,7732,430
208,53033024800,Tract 024800,5990,432
209,53033024901,Tract 024901,5428,274
210,53033024902,Tract 024902,4065,238
211,53033024903,Tract 024903,7114,358
212,53033025001,Tract 025001,5127,265
213,53033025003,Tract 025003,6863,534
214,53033025005,Tract 025005,5133,317
215,53033025006,Tract 025006,6164,471
216,53033025101,Tract 025101,6675,579
217,53033025102,Tract 025102,7878,378
218,53033025200,Tract 025200,8985,424
219,53033025301,Tract 025301,6330,443
220,53033025302,Tract 025302,5583,605
221,53033025400,Tract 025400,7445,533
222,53033025500,Tract 025500,4794,284
223,53033025601,Tract 025601,5644,419
224,53033025602,Tract 025602,6356,356
225,53033025701,Tract 025701,6215,427
226,53033025702,Tract 025702,3577,182
227,53033025803,Tract 025803,4755,431
228,53033025804,Tract 025804,3614,317
229,53033025805,Tract 025805,5197,386
230,53033025806,Tract 025806,5329,428
231,53033026001,Tract 026001,5704,415
232,53033026002,Tract 026002,8529,844
233,53033026100,Tract 026100,8327,808
234,53033026200,Tract 026200,5743,534
235,53033026300,Tract 026300,1616,146
236,53033026400,Tract 026400,6198,658
237,53033026500,Tract 026500,4392,520
238,53033026600,Tract 026600,2538,215
239,53033026700,Tract 026700,5291,438
240,53033026801,Tract 026801,5883,606
241,53033026802,Tract 026802,5562,480
242,53033027000,Tract 027000,3147,232
243,53033027100,Tract 027100,3885,356
244,53033027200,Tract 027200,2607,244
245,53033027300,Tract 027300,5786,404
246,53033027400,Tract 027400,5224,343
247,53033027500,Tract 027500,4852,298
248,53033027600,Tract 027600,4757,385
249,53033027701,Tract 027701,5008,378
250,53033027702,Tract 027702,5028,392
251,53033027800,Tract 027800,3403,230
252,53033027900,Tract 027900,7955,669
253,53033028000,Tract 028000,4554,359
254,53033028100,Tract 028100,2649,243
255,53033028200,Tract 028200,4929,379
256,53033028300,Tract 028300,5241,318
257,53033028402,Tract 028402,5254,471
258,53033028403,Tract 028403,5379,511
259,53033028500,Tract 028500,4263,342
260,53033028600,Tract 028600,6556,255
261,53033028700,Tract 028700,5205,298
262,53033028801,Tract 028801,3260,347
263,53033028802,Tract 028802,6631,580
264,53033028901,Tract 028901,3304,241
265,53033028902,Tract 028902,7525,771
266,53033029001,Tract 029001,4574,356
267,53033029003,Tract 029003,5493,489
268,53033029004,Tract 029004,4078,368
269,53033029101,Tract 029101,3096,355
270,53033029102,Tract 029102,4324,487
271,53033029203,Tract 029203,4244,435
272,53033029204,Tract 029204,7360,666
273,53033029205,Tract 029205,4659,360
274,53033029206,Tract 029206,4409,330
275,53033029303,Tract 029303,7473,416
276,53033029304,Tract 029304,5237,311
277,53033029305,Tract 029305,4256,392
278,53033029306,Tract 029306,3651,280
279,53033029307,Tract 029307,4244,372
280,53033029403,Tract 029403,5876,350
281,53033029405,Tract 029405,5690,371
282,53033029406,Tract 029406,5174,313
